nombre_estrella	masa_estrella_m_solar	radio_estrella_r_solar	temperatura_estrella_k	distancia_estrella_pc	masa_rel_solar	radio_rel_solar	temperatura_rel_solar
11 Com	2.09	13.76	4874.0	93.18	2.09	13.76	0.84
11 UMi	1.8	24.08	4340.0	125.32	1.8	24.08	0.75
14 And	1.2	1.15	5462.43	75.44	1.2	1.15	0.95
14 Her	0.91	1.15	5462.43	17.93	0.91	1.15	0.95
16 Cyg B	1.08	1.13	5750.0	21.14	1.08	1.13	1.0
17 Sco	1.22	25.92	4157.0	124.95	1.22	25.92	0.72
18 Del	2.1	1.15	5462.43	76.22	2.1	1.15	0.95
1RXS J160929.1-210524	0.62	1.31	3993.0	139.14	0.62	1.31	0.69
24 Boo	0.99	10.64	4893.0	95.99	0.99	10.64	0.85
24 Sex	1.54	4.9	5098.0	72.07	1.54	4.9	0.88
2MASS J04372171+2651014	0.17	0.84	3100.0	128.48	0.17	0.84	0.54
Unknown	0.94	1.15	5462.43	728.15	0.94	1.15	0.95
2MASS J01033563-5515561 A	0.19	1.15	5462.43	728.15	0.19	1.15	0.95
2MASS J01225093-2439505	0.35	0.37	3309.0	33.83	0.35	0.37	0.57
2MASS J02192210-3925225	0.11	0.28	3064.0	728.15	0.11	0.28	0.53
2MASS J0249-0557 A	0.05	1.15	5462.43	66.06	0.05	1.15	0.95
2MASS J03590986+2009361	0.94	1.15	5462.43	117.44	0.94	1.15	0.95
2MASS J04414489+2301513	0.02	1.15	5462.43	728.15	0.02	1.15	0.95
2MASS J11011926-7732383	0.94	1.15	5462.43	728.15	0.94	1.15	0.95
2MASS J11550485-7919108	0.94	1.15	5462.43	100.86	0.94	1.15	0.95
2MASS J12073346-3932539	0.19	0.22	2825.0	64.31	0.19	0.22	0.49
2MASS J19383260+4603591	0.48	1.15	5462.43	396.33	0.48	1.15	0.95
2MASS J21252752-8138278	0.94	1.15	5462.43	34.12	0.94	1.15	0.95
2MASS J22362452+4751425	0.6	1.15	4045.0	69.57	0.6	1.15	0.7
30 Ari B	1.16	1.13	5462.43	44.66	1.16	1.13	0.95
4 UMa	1.23	18.11	4415.0	73.46	1.23	18.11	0.76
47 UMa	1.01	1.14	5829.16	13.8	1.01	1.14	1.01
51 Eri	1.75	1.15	5462.43	29.76	1.75	1.15	0.95
51 Peg	1.07	1.19	5760.76	15.46	1.07	1.19	1.0
55 Cnc	0.94	1.15	5462.43	12.59	0.94	1.15	0.95
55 Cnc B	0.26	0.27	3286.0	12.48	0.26	0.27	0.57
6 Lyn	1.7	5.2	4978.0	54.66	1.7	5.2	0.86
61 Vir	0.94	0.96	5577.0	8.5	0.94	0.96	0.97
7 CMa	1.34	4.87	4826.0	19.81	1.34	4.87	0.84
70 Vir	1.09	1.94	5439.0	17.9	1.09	1.94	0.94
75 Cet	2.49	10.5	4846.0	82.96	2.49	10.5	0.84
8 UMi	1.44	10.3	4847.0	162.55	1.44	10.3	0.84
81 Cet	1.6	1.15	5462.43	101.26	1.6	1.15	0.95
91 Aqr	1.4	11.0	4665.0	44.03	1.4	11.0	0.81
AB Aur	2.4	1.15	9770.0	162.13	2.4	1.15	1.69
AB Pic	0.94	1.15	5462.43	50.05	0.94	1.15	0.95
AF Lep	1.2	1.25	6100.0	26.86	1.2	1.25	1.06
alf Ari	1.5	13.9	4553.0	20.21	1.5	13.9	0.79
alf Tau	1.13	45.1	4055.0	20.43	1.13	45.1	0.7
AT2021ueyL	0.49	1.15	3680.0	1040.0	0.49	1.15	0.64
AU Mic	0.5	0.75	3700.0	9.72	0.5	0.75	0.64
b Cen A	5.5	1.15	5462.43	98.09	5.5	1.15	0.95
Barnard's star	0.16	0.18	3195.0	1.83	0.16	0.18	0.55
BD+03 2562	1.14	32.35	4095.0	1070.63	1.14	32.35	0.71
BD+05 4868 A	0.7	0.69	4596.0	43.57	0.7	0.69	0.8
BD+14 4559	0.49	0.86	4864.0	49.35	0.49	0.86	0.84
BD+15 2375	1.08	8.95	4649.0	768.04	1.08	8.95	0.8
BD+15 2940	1.1	14.7	4796.0	426.42	1.1	14.7	0.83
BD+20 2457	2.8	49.0	4137.0	1539.71	2.8	49.0	0.72
BD+20 274	0.8	17.3	4296.0	1322.51	0.8	17.3	0.74
BD+20 594	0.96	0.96	5703.0	179.46	0.96	0.96	0.99
BD+37 3172	3.75	50.24	4500.0	454.25	3.75	50.24	0.78
BD+42 2315	1.38	17.85	4500.0	610.72	1.38	17.85	0.78
BD+45 564	0.81	1.15	5004.0	53.62	0.81	1.15	0.87
BD+48 738	0.74	11.0	4414.0	871.49	0.74	11.0	0.76
BD+48 740	1.09	10.33	4534.0	666.59	1.09	10.33	0.78
BD+49 828	1.52	7.6	4943.0	442.04	1.52	7.6	0.86
BD+55 362	0.91	1.15	5012.0	52.57	0.91	1.15	0.87
BD+60 1417	1.0	0.8	4993.0	44.95	1.0	0.8	0.86
BD+63 1405	0.82	1.15	5000.0	38.05	0.82	1.15	0.87
BD-06 1339	0.7	1.15	4324.0	20.27	0.7	1.15	0.75
BD-08 2823	0.5	0.71	4816.0	41.33	0.5	0.71	0.83
BD-10 3166	1.47	0.91	5393.0	84.41	1.47	0.91	0.93
BD-11 4672	0.57	0.52	4475.0	27.17	0.57	0.52	0.77
BD-13 2130	2.12	19.17	4545.0	925.21	2.12	19.17	0.79
BD-14 3065 A	1.41	2.35	6935.0	589.42	1.41	2.35	1.2
BD-17 63	0.74	0.69	4714.0	34.46	0.74	0.69	0.82
BD-210397	0.68	0.75	4051.0	23.73	0.68	0.75	0.7
BEBOP-3	1.08	1.41	6033.0	119.05	1.08	1.41	1.04
BEBOP-4 A	1.51	1.15	5462.43	234.29	1.51	1.15	0.95
bet Cnc	1.7	47.2	4092.1	89.05	1.7	47.2	0.71
bet Pic	1.95	1.54	8038.68	19.74	1.95	1.54	1.39
bet UMi	1.4	38.3	4126.0	38.77	1.4	38.3	0.71
CD Cet	0.16	0.18	3130.0	8.61	0.16	0.18	0.54
CFBDSIR J145829+101343	0.02	1.15	580.5	728.15	0.02	1.15	0.1
CFHTWIR-Oph 98 A	0.01	0.24	2320.0	728.15	0.01	0.24	0.4
CHXR 73	0.35	1.15	5462.43	190.37	0.35	1.15	0.95
CI Tau	0.94	1.15	5462.43	158.0	0.94	1.15	0.95
COCONUTS-2 A	0.37	0.39	3406.0	10.89	0.37	0.39	0.59
CoRoT-1	0.94	1.29	5950.0	787.91	0.94	1.29	1.03
CoRoT-10	0.89	0.79	5075.0	338.39	0.89	0.79	0.88
CoRoT-11	0.94	1.59	6343.0	655.04	0.94	1.59	1.1
CoRoT-12	1.08	1.12	5675.0	1126.37	1.08	1.12	0.98
CoRoT-13	1.09	1.01	5945.0	1148.93	1.09	1.01	1.03
CoRoT-14	1.12	1.19	6035.0	1744.6	1.12	1.19	1.04
CoRoT-16	1.1	1.19	5650.0	732.41	1.1	1.19	0.98
CoRoT-17	1.04	1.59	5740.0	1176.12	1.04	1.59	0.99
CoRoT-18	0.95	1.0	5440.0	764.89	0.95	1.0	0.94
CoRoT-19	1.21	1.65	6090.0	790.66	1.21	1.65	1.05
CoRoT-2	0.96	0.91	5625.0	213.28	0.96	0.91	0.97
CoRoT-20	1.1	1.16	5462.43	844.06	1.1	1.16	0.95
CoRoT-21	1.29	1.95	6200.0	728.15	1.29	1.95	1.07
CoRoT-22	1.1	1.14	5939.0	627.16	1.1	1.14	1.03
CoRoT-23	1.12	1.74	5900.0	1060.97	1.12	1.74	1.02
CoRoT-24	0.91	0.86	4950.0	591.55	0.91	0.86	0.86
CoRoT-25	1.09	1.19	6040.0	1103.48	1.09	1.19	1.05
CoRoT-26	1.09	1.79	5590.0	1045.18	1.09	1.79	0.97
CoRoT-27	1.05	1.08	5900.0	1010.28	1.05	1.08	1.02
CoRoT-28	1.01	1.78	5150.0	766.18	1.01	1.78	0.89
CoRoT-29	0.9	1.08	5268.0	806.51	0.9	1.08	0.91
CoRoT-3	1.37	1.56	6740.0	768.77	1.37	1.56	1.17
CoRoT-30	0.98	0.91	5650.0	1032.23	0.98	0.91	0.98
CoRoT-31	1.25	2.15	5700.0	2005.76	1.25	2.15	0.99
CoRoT-32	1.08	0.79	5970.0	576.68	1.08	0.79	1.03
CoRoT-35	1.01	1.65	6390.0	1123.21	1.01	1.65	1.11
CoRoT-36	1.32	1.52	6730.0	925.96	1.32	1.52	1.16
CoRoT-4	1.16	1.17	6190.0	726.41	1.16	1.17	1.07
CoRoT-5	0.99	1.12	5462.43	882.47	0.99	1.12	0.95
CoRoT-6	1.05	1.02	6090.0	645.29	1.05	1.02	1.05
CoRoT-7	0.88	0.84	5313.0	159.91	0.88	0.84	0.92
CoRoT-8	0.88	0.77	5080.0	322.04	0.88	0.77	0.88
CoRoT-9	0.96	0.94	5625.0	412.98	0.96	0.94	0.97
CT Cha	0.94	1.15	5462.43	190.72	0.94	1.15	0.95
DE CVn	0.51	1.15	5462.43	30.52	0.51	1.15	0.95
DENIS-P J082303.1-491201	0.08	1.15	5462.43	728.15	0.08	1.15	0.95
DH Tau	0.33	0.27	5462.43	134.85	0.33	0.27	0.95
DMPP-1	1.21	1.26	6196.0	62.54	1.21	1.26	1.07
DMPP-2	1.44	1.78	6500.0	137.94	1.44	1.78	1.12
DMPP-3 A	0.87	0.91	5138.0	45.23	0.87	0.91	0.89
DMPP-4	1.25	1.38	6400.0	25.33	1.25	1.38	1.11
DP Leo	0.94	1.15	5462.43	305.68	0.94	1.15	0.95
DS Tuc A	0.96	0.87	5542.0	44.06	0.96	0.87	0.96
EPIC 201170410	0.29	0.28	3648.0	728.15	0.29	0.28	0.63
EPIC 201238110	0.94	0.37	5462.43	159.26	0.94	0.37	0.95
EPIC 201427007	0.94	0.94	5633.0	706.39	0.94	0.94	0.97
EPIC 201497682	0.78	1.15	5462.43	253.03	0.78	1.15	0.95
EPIC 201595106	0.96	0.98	5679.0	232.1	0.96	0.98	0.98
K2-166	1.07	1.15	5462.43	476.88	1.07	1.15	0.95
K2-16	0.67	1.15	5462.43	334.97	0.67	1.15	0.95
EPIC 201757695	0.73	0.66	4520.0	728.15	0.73	0.66	0.78
K2-50	0.94	0.63	5462.43	257.44	0.94	0.63	0.95
EPIC 201841433	0.8	0.63	5053.0	436.49	0.8	0.63	0.87
K2-168	0.91	1.15	5462.43	243.94	0.91	1.15	0.95
EPIC 206024342	0.93	1.15	5462.43	369.89	0.93	1.15	0.95
EPIC 206032309	0.22	1.15	5462.43	161.36	0.22	1.15	0.95
EPIC 206042996	0.94	0.5	4114.0	451.77	0.94	0.5	0.71
EPIC 206215704	0.94	0.25	3297.0	109.89	0.94	0.25	0.57
EPIC 206317286	0.94	0.67	5462.43	314.35	0.94	0.67	0.95
EPIC 211822797	0.59	0.6	3811.0	186.2	0.59	0.6	0.66
EPIC 211945201	1.16	1.36	6128.0	181.69	1.16	1.36	1.06
EPIC 212297394	0.94	0.75	5462.43	418.4	0.94	0.75	0.95
EPIC 212424622	1.11	1.15	5462.43	611.8	1.11	1.15	0.95
EPIC 212499991	0.91	1.15	5462.43	283.29	0.91	1.15	0.95
EPIC 212587672	0.94	0.98	5462.43	320.07	0.94	0.98	0.95
EPIC 212624936	0.94	0.93	5765.0	561.93	0.94	0.93	1.0
EPIC 212737443	0.72	0.67	4581.0	336.25	0.72	0.67	0.79
EPIC 220492298	0.94	0.89	5620.0	624.51	0.94	0.89	0.97
K2-282	0.94	1.15	5462.43	496.29	0.94	1.15	0.95
EPIC 220674823	0.94	0.87	5470.0	244.59	0.94	0.87	0.95
EPIC 228836835	0.94	0.32	3782.0	150.12	0.94	0.32	0.65
EPIC 229004835	0.97	1.0	5868.0	121.97	0.97	1.0	1.02
EPIC 246851721	1.32	1.59	6202.0	372.63	1.32	1.59	1.07
EPIC 248847494	0.9	2.7	4898.0	551.89	0.9	2.7	0.85
EPIC 249893012	1.05	1.71	5430.0	321.3	1.05	1.71	0.94
eps CrB	1.7	21.0	4406.0	69.87	1.7	21.0	0.76
eps Eri	0.85	1.15	5462.43	3.2	0.85	1.15	0.95
eps Ind A	0.76	0.68	4760.0	3.64	0.76	0.68	0.82
eps Tau	2.46	1.15	4950.0	47.53	2.46	1.15	0.86
FU Tau	0.05	1.15	2838.0	728.15	0.05	1.15	0.49
G 192-15	0.13	1.15	5462.43	9.53	0.13	1.15	0.95
G 196-3	0.94	1.15	5462.43	21.79	0.94	1.15	0.95
G 261-6	0.12	1.15	5462.43	10.63	0.12	1.15	0.95
G 264-012	0.3	0.3	3326.0	16.01	0.3	0.3	0.58
G 268-110	0.14	1.15	5462.43	728.15	0.14	1.15	0.95
G 9-40	0.94	0.32	3413.0	27.93	0.94	0.32	0.59
Gaia-1	0.95	0.95	5470.0	363.66	0.95	0.95	0.95
Gaia-2	0.94	1.09	5720.0	209.23	0.94	1.09	0.99
Gaia-4	0.64	0.62	4034.0	73.48	0.64	0.62	0.7
Gaia-5	0.34	0.34	3447.0	41.18	0.34	0.34	0.6
Gaia22dkvL	1.05	1.15	5462.43	1040.0	1.05	1.15	0.95
gam Cep	1.27	4.74	4775.0	14.1	1.27	4.74	0.83
gam Lib	1.47	11.1	4822.0	47.4	1.47	11.1	0.83
gam Psc	0.99	11.2	4742.0	41.31	0.99	11.2	0.82
gam1 Leo	1.23	31.88	4330.0	39.89	1.23	31.88	0.75
GJ 1002	0.12	0.14	3024.0	4.85	0.12	0.14	0.52
GJ 1061	0.12	0.16	2953.0	3.67	0.12	0.16	0.51
GJ 1132	0.19	0.22	3229.0	12.61	0.19	0.22	0.56
GJ 1148	0.34	0.36	3287.0	11.01	0.34	0.36	0.57
GJ 1151	0.16	0.18	3280.0	8.04	0.16	0.18	0.57
GJ 1214	0.18	0.21	3074.0	14.64	0.18	0.21	0.53
GJ 1252	0.38	0.39	3458.0	20.37	0.38	0.39	0.6
GJ 1265	0.18	0.19	3236.0	10.25	0.18	0.19	0.56
GJ 1289	0.21	1.15	3296.0	8.35	0.21	1.15	0.57
GJ 143	0.76	0.73	5462.43	16.32	0.76	0.73	0.95
GJ 15 A	0.38	0.38	3607.0	3.56	0.38	0.38	0.62
GJ 160.2	0.69	1.15	4347.0	25.86	0.69	1.15	0.75
GJ 163	0.94	1.15	5462.43	15.13	0.94	1.15	0.95
GJ 179	0.36	0.38	3370.0	12.36	0.36	0.38	0.58
GJ 180	0.43	1.15	3371.0	11.94	0.43	1.15	0.58
GJ 2030	0.96	1.15	5462.43	37.08	0.96	1.15	0.95
GJ 2056	0.62	1.15	5462.43	28.44	0.62	1.15	0.95
GJ 2126	0.65	0.73	4159.0	38.13	0.65	0.73	0.72
GJ 229	0.58	1.15	5462.43	5.76	0.58	1.15	0.95
GJ 238	0.42	0.43	3485.0	15.21	0.42	0.43	0.6
GJ 251	0.36	0.36	3451.0	5.58	0.36	0.36	0.6
GJ 27.1	0.53	1.15	3542.0	23.61	0.53	1.15	0.61
GJ 273	0.29	0.29	3382.0	5.92	0.29	0.29	0.59
GJ 3021	0.9	0.9	5540.0	17.56	0.9	0.9	0.96
GJ 3082	0.47	1.15	5462.43	16.62	0.47	1.15	0.95
GJ 3090	0.94	0.52	3703.0	22.48	0.94	0.52	0.64
GJ 3138	0.68	0.5	3717.0	28.47	0.68	0.5	0.64
GJ 317	0.45	0.43	3492.73	15.2	0.45	0.43	0.6
GJ 3222	0.89	1.15	5462.43	18.24	0.89	1.15	0.95
GJ 328	0.65	0.63	3897.0	20.53	0.65	0.63	0.67
GJ 3293	0.42	0.4	3466.0	20.19	0.42	0.4	0.6
GJ 3323	0.16	0.12	3159.0	5.37	0.16	0.12	0.55
GJ 3341	0.47	0.44	3526.0	23.62	0.47	0.44	0.61
GJ 338 B	0.64	0.58	4005.0	6.33	0.64	0.58	0.69
GJ 341	0.48	0.51	3770.0	10.45	0.48	0.51	0.65
GJ 3470	0.5	0.5	3552.0	29.42	0.5	0.5	0.61
GJ 3473	0.94	0.35	3332.0	27.36	0.94	0.35	0.58
GJ 3512	0.12	0.14	3141.0	9.49	0.12	0.14	0.54
GJ 357	0.94	0.36	3505.0	9.44	0.94	0.36	0.61
GJ 3634	0.45	0.43	5462.43	20.38	0.45	0.43	0.95
GJ 367	0.45	0.46	3522.0	9.41	0.45	0.46	0.61
GJ 3779	0.27	0.28	3324.0	13.74	0.27	0.28	0.58
GJ 3929	0.31	0.32	3384.0	15.81	0.31	0.32	0.59
GJ 393	0.43	0.43	3579.0	7.03	0.43	0.43	0.62
GJ 3942	0.63	0.61	3867.0	16.93	0.63	0.61	0.67
GJ 3988	0.18	0.2	3273.0	9.91	0.18	0.2	0.57
GJ 3998	0.52	0.5	3726.0	18.15	0.52	0.5	0.64
GJ 411	0.39	0.37	3719.95	5.68	0.39	0.37	0.64
GJ 414 A	0.69	0.67	4205.93	11.89	0.69	0.67	0.73
GJ 422	0.35	1.15	5462.43	12.66	0.35	1.15	0.95
GJ 4276	0.41	0.41	3387.0	21.34	0.41	0.41	0.59
GJ 433	0.48	1.15	3472.0	9.06	0.48	1.15	0.6
GJ 436	0.45	0.46	3350.0	9.75	0.45	0.46	0.58
GJ 463	0.49	0.49	3540.0	18.36	0.49	0.49	0.61
GJ 480	0.45	1.15	5462.43	14.24	0.45	1.15	0.95
GJ 486	0.94	0.33	3297.0	8.07	0.94	0.33	0.57
GJ 504	1.22	1.15	6234.0	17.53	1.22	1.15	1.08
GJ 508.2	0.54	0.53	3720.0	16.64	0.54	0.53	0.64
GJ 514	0.51	0.5	3728.0	7.62	0.51	0.5	0.65
GJ 536	0.52	0.5	3685.0	10.41	0.52	0.5	0.64
GJ 581	0.31	0.33	3396.0	6.3	0.31	0.33	0.59
GJ 625	0.3	0.31	3499.0	6.47	0.3	0.31	0.61
GJ 649	0.54	1.15	3700.0	10.38	0.54	1.15	0.64
GJ 667 C	0.94	1.15	5462.43	7.24	0.94	1.15	0.95
GJ 674	0.35	1.15	3600.0	4.55	0.35	1.15	0.62
GJ 676 A	0.73	0.69	3734.0	16.03	0.73	0.69	0.65
GJ 680	0.46	1.15	5462.43	9.67	0.46	1.15	0.95
GJ 682	0.27	1.15	3028.0	5.01	0.27	1.15	0.52
GJ 685	0.55	0.54	3816.0	14.32	0.55	0.54	0.66
GJ 687	0.4	1.15	5462.43	4.55	0.4	1.15	0.95
GJ 720 A	0.57	0.56	3837.0	15.56	0.57	0.56	0.66
GJ 724	0.53	0.52	3799.0	16.97	0.53	0.52	0.66
GJ 740	0.58	0.56	3913.0	11.1	0.58	0.56	0.68
GJ 806	0.41	0.41	3600.0	12.04	0.41	0.41	0.62
GJ 832	0.44	0.44	5462.43	4.96	0.44	0.44	0.95
GJ 849	0.65	0.53	3241.0	8.8	0.65	0.53	0.56
GJ 86	0.77	1.15	5151.0	10.78	0.77	1.15	0.89
